geom,nombre,empresa,tipo_yacim,estado,mineral_pr,geojson
0104000020E6100000010000000101000000713D0AD7A3B050C03D0AD7A370BD37C0,Cauchari-Olaroz,MINERA EXAR S.A.,,Construcción,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-66.76,-23.74]]}"
0104000020E6100000010000000101000000D7A3703D0AA750C09A99999999593BC0,Bajo La Alumbrera,MINERA ALUMBRERA LIMITED,,Mantenimiento,Cobre,"{""type"":""MultiPoint"",""coordinates"":[[-66.61,-27.35]]}"
0104000020E6100000010000000101000000448B6CE7FB0951C0DF4F8D976E1239C0,Río Grande,LITHEA INC. SUCURSAL ARGENTINA,,Exploración avanzada,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-68.156,-25.072]]}"
0104000020E610000001000000010100000085EB51B81E3551C0B81E85EB513845C0,Navidad,MINERA ARGENTA S.A.,,Evaluación económica preliminar,Plata,"{""type"":""MultiPoint"",""coordinates"":[[-68.83,-42.44]]}"
0104000020E61000000100000001010000006666666666C650C03D0AD7A3707D39C0,Fenix,MINERA DEL ALTIPLANO S.A.,,Producción,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-67.1,-25.49]]}"
0104000020E6100000010000000101000000EC51B81E85AB50C08FC2F5285C4F3BC0,Farallón Negro,YACIMIENTOS MINEROS DE AGUA DE DIONISIO (YMAD),,Producción,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-66.68,-27.31]]}"
0104000020E610000001000000010100000052B81E85EBA150C0F6285C8FC2B536C0,Chinchillas-Pirquitas,Puna Operations Inc,,Producción,Plata,"{""type"":""MultiPoint"",""coordinates"":[[-66.53,-22.71]]}"
0104000020E610000001000000010100000033333333331351C08FC2F5285CCF38C0,Mariana,Mariana Lithium Co. Ltd.,,Evaluación económica preliminar,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-68.3,-24.81]]}"
0104000020E6100000010000000101000000A4703D0AD76351C000000000000040C0,Cerro Blanco,Argentina Mining Limited,,Exploración avanzada,Cobre,"{""type"":""MultiPoint"",""coordinates"":[[-69.56,-32]]}"
0104000020E61000000100000001010000005C8FC2F5282C51C014AE47E17AB445C0,Meseta Central,Ur América Ltd.,,Exploración avanzada,Uranio,"{""type"":""MultiPoint"",""coordinates"":[[-68.69,-43.41]]}"
0104000020E6100000010000000101000000744694F6065F51C0AE47E17A147E42C0,Potasio Río Colorado,Potasio Río Colorado S.A.,,Factibilidad,Potasio,"{""type"":""MultiPoint"",""coordinates"":[[-69.4848,-36.985]]}"
0104000020E61000000100000001010000007B14AE47E12A51C014AE47E17AF445C0,Laguna Colorada,CNEA,,Exploración avanzada,Uranio,"{""type"":""MultiPoint"",""coordinates"":[[-68.67,-43.91]]}"
0104000020E6100000010000000101000000A4703D0AD72351C0F6285C8FC21548C0,Pingüino,Austral Gold,,Exploración avanzada,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-68.56,-48.17]]}"
0104000020E6100000010000000101000000B81E85EB51A851C0D7A3703D0A9742C0,Andacollo,TRIDENT SOUTHERN EXPLORATIONS DE ARGENTINA S.R.L.,,Construcción,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-70.63,-37.18]]}"
0104000020E61000000100000001010000006DE7FBA9F17250C0A4703D0AD76344C0,San Roque,Marifil S.A,,Exploración avanzada,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-65.796,-40.78]]}"
0104000020E6100000010000000101000000CDCCCCCCCC7C51C01F85EB51B85E3DC0,Veladero,MINERA ARGENTINA GOLD S.R.L,,Producción,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-69.95,-29.37]]}"
0104000020E6100000010000000101000000295C8FC2F52851C0F6285C8FC2B53DC0,Gualcamayo,MINAS ARGENTINAS S.A.,,Producción,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-68.64,-29.71]]}"
0104000020E6100000010000000101000000B81E85EB516851C0713D0AD7A3303FC0,Casposo,TROY RESOURCES ARGENTINA LTD (EX. INTREPID),,Mantenimiento,Plata,"{""type"":""MultiPoint"",""coordinates"":[[-69.63,-31.19]]}"
0104000020E6100000010000000101000000A4703D0AD79351C0D7A3703D0A5747C0,San José,MINERA SANTA CRUZ S.A.,,Producción,Plata,"{""type"":""MultiPoint"",""coordinates"":[[-70.31,-46.68]]}"
0104000020E61000000100000001010000005C8FC2F5286C50C0F6285C8FC23537C0,Aguilar,COMPAÑIA MINERA AGUILAR S.A.,,Producción,Plomo,"{""type"":""MultiPoint"",""coordinates"":[[-65.69,-23.21]]}"
0104000020E610000001000000010100000052B81E85EBD150C0D7A3703D0A1746C0,Laguna Salada,MAPLE EXPLORATION AND DEVELOPMENT INC.,,Evaluación económica preliminar,Uranio,"{""type"":""MultiPoint"",""coordinates"":[[-67.28,-44.18]]}"
0104000020E6100000010000000101000000EC51B81E85DB50C085EB51B81E853AC0,Kachi,Morena del Valle S.A.,,Exploración avanzada,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-67.43,-26.52]]}"
0104000020E6100000010000000101000000E17A14AE479150C0E17A14AE47613BC0,Agua Rica,MINERA AGUA RICA LLC - (SUCURSAL ARGENTINA),,Prefactibilidad,Cobre,"{""type"":""MultiPoint"",""coordinates"":[[-66.27,-27.38]]}"
0104000020E61000000100000001010000009A999999997951C0C3F5285C8F023EC0,Del Carmen,MINERA DEL CARMEN S.A.,,Exploración avanzada,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-69.9,-30.01]]}"
0104000020E6100000010000000101000000E17A14AE476151C00AD7A3703D8A3EC0,Valle de Chita,MINERA SUD ARGENTINA S.A.,,Exploración avanzada,Cobre,"{""type"":""MultiPoint"",""coordinates"":[[-69.52,-30.54]]}"
0104000020E61000000100000001010000001F85EB51B89E51C07B14AE47E17A3FC0,Altar,MINERA PEREGRINE ARGENTINA S.A.,,Exploración avanzada,Cobre,"{""type"":""MultiPoint"",""coordinates"":[[-70.48,-31.48]]}"
0104000020E61000000100000001010000007B14AE47E15A51C03D0AD7A370DD44C0,Calcatreu,MINERA AQUILINE ARGENTINA S.A.,,Exploración avanzada,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-69.42,-41.73]]}"
0104000020E61000000100000001010000003D0AD7A3707D51C03D0AD7A370BD47C0,Virginia,MINERA DEL SOL S.A.,,Exploración avanzada,Plata,"{""type"":""MultiPoint"",""coordinates"":[[-69.96,-47.48]]}"
0104000020E61000000100000001010000008FC2F5285CDF50C0AE47E17A14CE47C0,Las Calandrias,MINERA MARIANA ARGENTINA S.A.,,Exploración avanzada,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-67.49,-47.61]]}"
0104000020E6100000010000000101000000D7A3703D0A5751C0EC51B81E85EB47C0,La Josefina,CERRO CAZADOR S.A.,,Exploración avanzada,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-69.36,-47.84]]}"
0104000020E61000000100000001010000000AD7A3703D7A51C0B81E85EB511848C0,La Manchuria,PATAGONIA GOLD S.A.,,Exploración avanzada,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-69.91,-48.19]]}"
0104000020E61000000100000001010000006666666666C650C052B81E85EB1138C0,Salar del Rincón,RINCON MINING LIMITED,,Factibilidad,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-67.1,-24.07]]}"
0104000020E6100000010000000101000000B81E85EB51B850C014AE47E17A5439C0,Sal de Vida,Galaxy Lithium (Sal de Vida) S.A,,Factibilidad,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-66.88,-25.33]]}"
0104000020E6100000010000000101000000EC51B81E859B51C0C3F5285C8FC23FC0,El Pachón,PACHON S.A. MINERA,,Factibilidad,Cobre,"{""type"":""MultiPoint"",""coordinates"":[[-70.43,-31.76]]}"
0104000020E61000000100000001010000003D0AD7A370CD51C0713D0AD7A37045C0,Suyai,MINAS ARGENTINAS S.A.,,Factibilidad,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-71.21,-42.88]]}"
0104000020E61000000100000001010000000AD7A3703D2A51C03333333333733BC0,Tres Quebradas,LIEX S.A.,,Prefactibilidad,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-68.66,-27.45]]}"
0104000020E6100000010000000101000000F6285C8FC26551C03333333333733CC0,Josemaría,DESARROLLO DE PROSPECTOS MINEROS S.A.,,Prefactibilidad,Cobre,"{""type"":""MultiPoint"",""coordinates"":[[-69.59,-28.45]]}"
0104000020E6100000010000000101000000B81E85EB516851C03D0AD7A3707D3CC0,Filo del Sol,FILO DEL SOL EXPLORACION S.A.,,Prefactibilidad,Cobre,"{""type"":""MultiPoint"",""coordinates"":[[-69.63,-28.49]]}"
0104000020E61000000100000001010000005C8FC2F5285C51C01F85EB51B81E40C0,San Jorge,MINERA SAN JORGE S.A.,,Prefactibilidad,Cobre,"{""type"":""MultiPoint"",""coordinates"":[[-69.44,-32.24]]}"
0104000020E61000000100000001010000001F85EB51B8BE50C01F85EB51B81E38C0,Rincón,Pepinnini Lithium Limited,,Exploración avanzada,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-66.98,-24.12]]}"
0104000020E6100000010000000101000000EC51B81E85FB50C00AD7A3703D4A38C0,Pular,Pepinnini Lithium Limited,,Exploración avanzada,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-67.93,-24.29]]}"
0104000020E6100000010000000101000000713D0AD7A3C050C048E17A14AE0739C0,Gallego,Everlight Resources,,Exploración avanzada,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-67.01,-25.03]]}"
0104000020E61000000100000001010000009A999999990951C05C8FC2F5281C39C0,Rio Grande,Regulus Argentina S.A,,Exploración avanzada,Cobre,"{""type"":""MultiPoint"",""coordinates"":[[-68.15,-25.11]]}"
0104000020E6100000010000000101000000CDCCCCCCCCBC50C0B81E85EB513839C0,Sal de Oro,POSCO ARGENTINA S.A,,Exploración avanzada,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-66.95,-25.22]]}"
0104000020E610000001000000010100000014AE47E17AC450C0B81E85EB513839C0,Salar del Hombre Muerto Norte,NRG Metals Inc.,,Evaluación económica preliminar,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-67.07,-25.22]]}"
0104000020E6100000010000000101000000EC51B81E857B50C05C8FC2F5289C39C0,Don Otto,CNEA,,Exploración avanzada,Uranio,"{""type"":""MultiPoint"",""coordinates"":[[-65.93,-25.61]]}"
0104000020E6100000010000000101000000713D0AD7A3B050C03D0AD7A3703D39C0,Sal de Los Ángeles,POTASIO Y LITIO DE ARGENTINA S.A.,,Evaluación económica preliminar,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-66.76,-25.24]]}"
0104000020E6100000010000000101000000C3F5285C8FB250C085EB51B81E4539C0,Diablillos,PACIFIC RIM MINING CORPORATION ARGENTINA S.A.,,Evaluación económica preliminar,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-66.79,-25.27]]}"
0104000020E6100000010000000101000000AE47E17A148E51C09A99999999193FC0,Los Azules,MINERA ANDES S.A.,,Evaluación económica preliminar,Cobre,"{""type"":""MultiPoint"",""coordinates"":[[-70.22,-31.1]]}"
0104000020E61000000100000001010000003B014D840DEF50C05227A089B09138C0,Taca Taca,CORRIENTE ARGENTINA S.A.,,Evaluación económica preliminar,Cobre,"{""type"":""MultiPoint"",""coordinates"":[[-67.7352,-24.5691]]}"
0104000020E6100000010000000101000000D7A3703D0A7751C0713D0AD7A3303DC0,Taguas,COMPAÑIA MINERA PIUQUENES S.A.,,Evaluación económica preliminar,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-69.86,-29.19]]}"
0104000020E610000001000000010100000052B81E85EBA150C0F6285C8FC2B536C0,Puna Operation,Puna Operations Inc,,Producción,Plata,"{""type"":""MultiPoint"",""coordinates"":[[-66.53,-22.71]]}"
0104000020E610000001000000010100000066666666669650C052B81E85EB9136C0,Ajedrez,Espiritu de Los Andes S.A,,Producción,Au aluvional,"{""type"":""MultiPoint"",""coordinates"":[[-66.35,-22.57]]}"
0104000020E6100000010000000101000000F6285C8FC29550C0AE47E17A146E36C0,Córdoba,Gasmarra Mineria S.A,,Construcción,Au aluvional,"{""type"":""MultiPoint"",""coordinates"":[[-66.34,-22.43]]}"
0104000020E61000000100000001010000003333333333B350C0C3F5285C8F4237C0,Providencia,Canepa Humberto Julio,,Factibilidad,Plata,"{""type"":""MultiPoint"",""coordinates"":[[-66.8,-23.26]]}"
0104000020E61000000100000001010000000AD7A3703D4A51C014AE47E17A5448C0,Claudia,MINERA DEL SOL S.A.,,Exploración avanzada,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-69.16,-48.66]]}"
0104000020E610000001000000010100000048E17A14AE1751C0E17A14AE472142C0,Don Sixto,COGNITO LIMITED - SUCURSAL ARGENTINA,,Exploración avanzada,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-68.37,-36.26]]}"
0104000020E6100000010000000101000000D7A3703D0A5751C0E17A14AE47A142C0,Potasio,BUNGE Y SERVICIOS DE MINERÍA,,Exploración avanzada,Potasio,"{""type"":""MultiPoint"",""coordinates"":[[-69.36,-37.26]]}"
0104000020E61000000100000001010000003333333333B350C0D7A3703D0AF743C0,Amarillo Grande,MINERA CIELO AZUL S.A.,,Evaluación económica preliminar,Uranio,"{""type"":""MultiPoint"",""coordinates"":[[-66.8,-39.93]]}"
0104000020E610000001000000010100000066666666662651C014AE47E17A5441C0,Sierra Pintada,CNEA,,Exploración avanzada,Uranio,"{""type"":""MultiPoint"",""coordinates"":[[-68.6,-34.66]]}"
0104000020E61000000100000001010000009A999999996951C08FC2F5285CCF3DC0,Jagüelito,MEXPLORT PERFORACIONES MINERAS S.A.,,Exploración avanzada,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-69.65,-29.81]]}"
0104000020E61000000100000001010000001F85EB51B8BE50C01F85EB51B81E38C0,Salar del Rincón - Argosy,Puna Mining S.A.,,Evaluación económica preliminar,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-66.98,-24.12]]}"
0104000020E61000000100000001010000003333333333B350C08FC2F5285C4F38C0,El Quevar,SILEX ARGENTINA S.A.,,Evaluación económica preliminar,Plata,"{""type"":""MultiPoint"",""coordinates"":[[-66.8,-24.31]]}"
0104000020E6100000010000000101000000EC51B81E85AB50C014AE47E17A9438C0,Pastos Grandes,PROYECTO PASTOS GRANDES S.A.,,Factibilidad,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-66.68,-24.58]]}"
0104000020E61000000100000001010000003D0AD7A370AD50C014AE47E17A9438C0,PPG,LITHEA INC. SUCURSAL ARGENTINA,,Evaluación económica preliminar,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-66.71,-24.58]]}"
0104000020E61000000100000001010000009A999999998951C0AE47E17A146E47C0,Cerro Negro,OROPLATA S.A.,,Producción,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-70.15,-46.86]]}"
0104000020E61000000100000001010000007B14AE47E1AA50C00AD7A3703D0A48C0,Cerro Moro,ESTELAR RESOURCES LIMITED - SUCURSAL ARGENTINA,,Producción,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-66.67,-48.08]]}"
0104000020E6100000010000000101000000713D0AD7A31051C052B81E85EB3148C0,Cerro Vanguardia,CERRO VANGUARDIA S.A.,,Producción,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-68.26,-48.39]]}"
0104000020E61000000100000001010000000AD7A3703D6A51C0B81E85EB515848C0,Mina Martha,CERRO CAZADOR S.A.,,Producción,Plata,"{""type"":""MultiPoint"",""coordinates"":[[-69.66,-48.69]]}"
0104000020E610000001000000010100000000000000006051C0A4703D0AD76348C0,Manantial Espejo,MINERA TRITON ARGENTINA S.A.,,Producción,Plata,"{""type"":""MultiPoint"",""coordinates"":[[-69.5,-48.78]]}"
0104000020E6100000010000000101000000AE47E17A14AE50C03D0AD7A3707D37C0,Olaroz,SALES DE JUJUY S. A.,,Producción,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-66.72,-23.49]]}"
0104000020E61000000100000001010000008FC2F5285C7F51C014AE47E17A543DC0,Lama,BARRICK EXPLORACIONES ARGENTINA S.A.,,Factibilidad,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-69.99,-29.33]]}"
0104000020E610000001000000010100000048E17A14AE5750C0F6285C8FC2D544C0,Sierra Grande,MCC MINERA SIERRA GRANDE S.A.,,Mantenimiento,Hierro,"{""type"":""MultiPoint"",""coordinates"":[[-65.37,-41.67]]}"
0104000020E61000000100000001010000003333333333A351C09A999999997947C0,Lomada de Leiva,PATAGONIA GOLD S.A.,,Proceso de Cierre,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-70.55,-46.95]]}"
0104000020E6100000010000000101000000AE47E17A149E51C09A99999999F947C0,Cap-Oeste,PATAGONIA GOLD S.A.,,Mantenimiento,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-70.47,-47.95]]}"
0104000020E610000001000000010100000048E17A14AE1752C085EB51B81EC549C0,Río Turbio,YACIMIENTO CARBONIFERO RIO TURBIO,,Producción,Carbón,"{""type"":""MultiPoint"",""coordinates"":[[-72.37,-51.54]]}"
0104000020E6100000010000000101000000713D0AD7A3F050C09A99999999D947C0,Don Nicolás,MINERA DON NICOLÁS,,Producción,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-67.76,-47.7]]}"
0104000020E610000001000000010100000052B81E85EB3151C0713D0AD7A3B045C0,Cerro Solo,CNEA,,Exploración avanzada,Uranio,"{""type"":""MultiPoint"",""coordinates"":[[-68.78,-43.38]]}"
0104000020E6100000010000000101000000C3F5285C8F9251C0F6285C8FC2B547C0,Lejano,COEUR ARGENTINA S.R.L. (ex polimet),,Exploración avanzada,Plata,"{""type"":""MultiPoint"",""coordinates"":[[-70.29,-47.42]]}"
0104000020E6100000010000000101000000AE47E17A14AE50C09A99999999D938C0,Centenario-Ratones,ERAMINE SUDAMERICA S.A.,,Factibilidad,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-66.72,-24.85]]}"
0104000020E610000001000000010100000052B81E85EBF150C014AE47E17A1439C0,Lindero,MANSFIELD MINERA S.A.,,Construcción,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-67.78,-25.08]]}"
0104000020E61000000100000001010000001F85EB51B8AE50C0AE47E17A14AE37C0,Cauchari,SOUTH AMERICAN SALARS S.A.,,Prefactibilidad,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-66.73,-23.68]]}"
